path,last_commit,first_line,recommended_action,reason
internal/docs/dev/notes/architectural_elegance_brainstorm.md,2025-11-09,# Architectural Elegance: Large-Scale Improvements,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/dashboard_endpoint_test_results.md,2025-11-09,# Dashboard Endpoint Test Results,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/dashboard_real_data_implementation.md,2025-11-09,# Dashboard Real Data Implementation,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/endpoint_test_summary.md,2025-11-09,Dashboard Endpoint Testing - Complete Summary,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/code_quality_improvements_summary.md,2025-11-09,# Code Quality Improvements Summary,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/validation_demonstration.md,2025-11-09,# TIME Validation Demonstration,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/test_results.md,2025-11-09,# Dashboard Functionality Test Results,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/testing_summary.md,2025-11-09,# Comprehensive Testing Summary,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/skyview_troubleshooting.md,2025-11-09,# SkyView Troubleshooting Guide,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/skyview_test_results.md,2025-11-09,# SkyView Testing Results,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/skyview_sprint1_complete.md,2025-11-09,# SkyView Sprint 1 (Foundation) - Implementation Complete,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/skyview_image_display_verification.md,2025-11-09,# SkyView Image Display Verification,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/roadmap_status_summary.md,2025-11-09,# Broader Roadmap Status Summary,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/status/2025-01/endpoint_verification_complete.md,2025-11-09,# Complete Endpoint Verification Report,archive,Internal development notes; keep separate from publishable docs.
frontend/tests/e2e/combined-testing-strategy.md,2025-11-12,# Combined Testing Strategy: Playwright + Cursor Browser + chrome-devtools,keep,Code-adjacent documentation supporting module owners.
frontend/tests/playwright/BROWSER_TESTING_GUIDE.md,2025-11-12,# Browser Testing & Integration Validation Guide,keep,Code-adjacent documentation supporting module owners.
internal/docs/graphiti/graphiti-guardrails.md,2025-11-09,# Graphiti Guardrails & Protocol,archive,Internal development notes; keep separate from publishable docs.
internal/docs/graphiti/graphiti-dsa110-contimg-schema.md,2025-11-09,# Graphiti Schema: dsa110-contimg Project,archive,Internal development notes; keep separate from publishable docs.
frontend/SKYVIEW_ANALYSIS.md,2025-11-11,# Sky View Page (`/sky`) - Implementation Analysis,keep,Code-adjacent documentation supporting module owners.
frontend/SKYMAP_IMPLEMENTATION.md,2025-11-11,# Interactive Sky Map Implementation,keep,Code-adjacent documentation supporting module owners.
frontend/README.md,2025-10-29,# DSA-110 Continuum Pipeline - Frontend,keep,Code-adjacent documentation supporting module owners.
frontend/README-DEV-SERVER.md,2025-11-10,# Running the Dev Server Persistently,keep,Code-adjacent documentation supporting module owners.
frontend/PREVENTION_EFFECTIVENESS_ANALYSIS.md,2025-11-12,# Prevention Strategy Effectiveness Analysis,keep,Code-adjacent documentation supporting module owners.
frontend/NODE_VERSION_SAFEGUARDS.md,2025-11-12,# Node.js v16 Compatibility Issue - Prevention Safeguards,keep,Code-adjacent documentation supporting module owners.
frontend/NODE_VERSION_REQUIREMENT.md,2025-11-12,# Node.js Version Requirement for Frontend Tests,keep,Code-adjacent documentation supporting module owners.
frontend/ISSUE_CHARACTERIZATION.md,2025-11-12,# Issue Characterization: Node.js v16 Compatibility,keep,Code-adjacent documentation supporting module owners.
frontend/IMAGE_GALLERY_FILTERS_IMPLEMENTATION.md,2025-11-11,# Image Gallery Filters Implementation,keep,Code-adjacent documentation supporting module owners.
frontend/FRONTEND_CODEBASE_ANALYSIS.md,2025-11-11,# DSA-110 Dashboard Frontend Codebase Analysis,keep,Code-adjacent documentation supporting module owners.
frontend/FRONTEND_ANALYSIS_SUMMARY.md,2025-11-11,# DSA-110 Dashboard Frontend Analysis Summary,keep,Code-adjacent documentation supporting module owners.
tests/utils/README.md,2025-11-03,# Test Utilities,keep,Code-adjacent documentation supporting module owners.
tests/unit/UNIT_TEST_CHECKLIST.md,2025-11-10,# Unit Test Suite Checklist,keep,Code-adjacent documentation supporting module owners.
tests/unit/unit.md,2025-11-12,# Unit Test Suite Guide,keep,Code-adjacent documentation supporting module owners.
tests/unit/README_MOSAIC_TESTS.md,2025-11-10,# Mosaic Unit Tests,keep,Code-adjacent documentation supporting module owners.
tests/unit/README_MOCKING_EXAMPLES.md,2025-11-06,# Unit Test Examples with Mocking,keep,Code-adjacent documentation supporting module owners.
frontend/DEBUGGING.md,2025-10-30,# Frontend Debugging Guide,keep,Code-adjacent documentation supporting module owners.
frontend/BETTER_DEBUGGING.md,2025-10-30,# Better Debugging Approach for React State Management,keep,Code-adjacent documentation supporting module owners.
tests/README.md,2025-11-06,# Test Suite Organization,keep,Code-adjacent documentation supporting module owners.
tests/PIPELINE_TESTING_STRATEGY.md,2025-11-07,# Pipeline Framework Testing Strategy,keep,Code-adjacent documentation supporting module owners.
docs/testing/unit_test_suite_summary.md,2025-11-11,# Unit Test Suite Summary - Monitoring & Recovery Features,keep,Default keep until manual review.
docs/testing/TEST_EXECUTION_LOG.md,2025-11-09,# Test Execution Log,keep,Default keep until manual review.
docs/testing/TEST_APPROACHES_ANALYSIS.md,2025-11-09,# 5 Approaches to Solve Remaining 6 Tests - Analysis,keep,Default keep until manual review.
docs/testing/SYSTEM_ANALYSIS.md,2025-11-09,# System Analysis: Testing Infrastructure,keep,Default keep until manual review.
docs/testing/STREAMING_TESTS_COMPLETION.md,2025-11-09,# Streaming Tests Completion Report,keep,Default keep until manual review.
docs/testing/SCIENCE_MS_INVENTORY.md,2025-11-09,# Science MS Files Inventory,keep,Default keep until manual review.
docs/testing/REVISED_STRATEGY.md,2025-11-09,# Revised Testing Strategy,keep,Default keep until manual review.
docs/testing/REMAINING_TESTS_STATUS.md,2025-11-09,# Remaining Tests Status,keep,Default keep until manual review.
docs/testing/REMAINING_TESTS_ANALYSIS.md,2025-11-09,# Analysis of Remaining 6 Tests,keep,Default keep until manual review.
docs/testing/READY_TO_USE.md,2025-11-09,# Testing Infrastructure - Ready to Use,keep,Default keep until manual review.
docs/testing/README.md,2025-11-12,# Testing Documentation,keep,Default keep until manual review.
docs/testing/QUICK_START.md,2025-11-12,# Quick Start: Testing Guide,keep,Default keep until manual review.
docs/testing/PROXY_ISSUE_NOTES.md,2025-11-09,# Vite Proxy Issue - Data Detail Tests,keep,Default keep until manual review.
docs/testing/PROGRESS_UPDATE.md,2025-11-09,# Test Execution Progress Update,keep,Default keep until manual review.
docs/testing/PRACTICAL_APPROACH.md,2025-11-09,# Practical Testing Approach,keep,Default keep until manual review.
docs/testing/PHASE1_WIDER_BINS_TEST_RESULTS.md,2025-11-09,# Phase 1: Wider Bins Adaptive Binning Test Results,keep,Default keep until manual review.
docs/testing/PHASE1_TESTING_RESULTS.md,2025-11-09,# Phase 1 (Adaptive Binning) Testing Results,keep,Default keep until manual review.
docs/testing/PHASE1_MULTIPLE_SOURCES_TEST_RESULTS.md,2025-11-09,# Phase 1: Multiple Sources Adaptive Binning Test Results,keep,Default keep until manual review.
docs/testing/PHASE1_16SPW_TEST_RESULTS.md,2025-11-09,# Phase 1: 16-SPW Adaptive Binning Test Results,keep,Default keep until manual review.
docs/testing/MOSAIC_PIECEWISE_TESTING.md,2025-11-09,# Piecewise Mosaic Testing Strategy,keep,Default keep until manual review.
docs/testing/MIDPOINT_SUMMARY.md,2025-11-09,# Test Execution - Midpoint Summary,keep,Default keep until manual review.
docs/testing/MERMAID_TESTING_SUMMARY.md,2025-11-09,# Mermaid Diagram Testing - Implementation Summary,keep,Default keep until manual review.
docs/testing/MERMAID_SPECIAL_CHARACTERS_SOLUTION.md,2025-11-09,# Mermaid Special Characters Solution,keep,Default keep until manual review.
docs/testing/MERMAID_DIAGRAM_TESTING_STRATEGY.md,2025-11-09,# Mermaid Diagram Visual Testing Strategy,keep,Default keep until manual review.
docs/testing/IMPLEMENTATION_SUMMARY.md,2025-11-12,# Testing Implementation Summary,keep,Default keep until manual review.
docs/testing/FINAL_TEST_REPORT.md,2025-11-09,# Final Test Execution Report,keep,Default keep until manual review.
docs/testing/FINAL_EXECUTION_REPORT.md,2025-11-09,# Final Test Execution Report,keep,Default keep until manual review.
docs/testing/EXECUTION_COMPLETE.md,2025-11-09,# Test Execution - Status Report,keep,Default keep until manual review.
docs/testing/DOCKER_TESTING_GUIDE.md,2025-11-12,# Docker-Based Testing Guide,keep,Default keep until manual review.
docs/testing/DEMONSTRATION.md,2025-11-09,# Testing Demonstration - Proof It Works,keep,Default keep until manual review.
docs/testing/DATA_DETAIL_TESTING_STATUS.md,2025-11-09,# Data Detail Page Testing Status,keep,Default keep until manual review.
docs/testing/CURRENT_STATUS.md,2025-11-09,# Testing Infrastructure - Current Status,keep,Default keep until manual review.
docs/testing/COMPREHENSIVE_TESTING_PLAN.md,2025-11-09,# Comprehensive Testing Plan for DSA-110 Continuum Imaging Dashboard,keep,Default keep until manual review.
docs/testing/COMPLETION_SUMMARY.md,2025-11-09,# Test Execution Completion Summary,keep,Default keep until manual review.
tests/scripts/README.md,2025-11-09,# Test Scripts,keep,Code-adjacent documentation supporting module owners.
tests/science/README_SCIENCE_FIRST_TESTING.md,2025-11-04,# Science-First Testing Strategy,keep,Code-adjacent documentation supporting module owners.
tests/science/HOW_TO_USE_SCIENCE_TESTS.md,2025-11-09,# How to Use Science-First Tests,keep,Code-adjacent documentation supporting module owners.
docs/RADIOPADRE_VS_VAST_TOOLS_COMPARISON.md,2025-11-10,# RadioPadre vs VAST Tools Feature Comparison,keep,Default keep until manual review.
docs/RADIOPADRE_EVALUATION.md,2025-11-12,# RadioPadre Evaluation for dsa110-contimg,keep,Default keep until manual review.
docs/QUICK_START_WARNINGS.md,untracked,# ⚠️ CRITICAL WARNINGS - Quick Reference,keep,Default keep until manual review.
docs/QA_VISUALIZATION_USER_GUIDE.md,2025-11-09,# QA Visualization Framework - User Guide,consolidate,Merge QA visualization docs into single guide + API reference.
docs/QA_VISUALIZATION_USAGE.md,2025-11-09,# QA Visualization Framework - Usage Guide,consolidate,Merge QA visualization docs into single guide + API reference.
docs/QA_VISUALIZATION_QUICK_START.md,2025-11-09,# QA Visualization Framework - Quick Start,consolidate,Merge QA visualization docs into single guide + API reference.
docs/QA_VISUALIZATION_IMPLEMENTATION_STATUS.md,2025-11-09,# QA Visualization Framework - Implementation Status,consolidate,Merge QA visualization docs into single guide + API reference.
docs/QA_VISUALIZATION_ENDPOINT_TESTS.md,2025-11-09,# QA Visualization Endpoint Tests,consolidate,Merge QA visualization docs into single guide + API reference.
docs/QA_VISUALIZATION_DESIGN.md,2025-11-09,# In-House QA Visualization Framework Design,consolidate,Merge QA visualization docs into single guide + API reference.
docs/QA_VISUALIZATION_DASHBOARD_TESTING.md,2025-11-09,# QA Visualization Dashboard - Testing Guide,consolidate,Merge QA visualization docs into single guide + API reference.
docs/QA_VISUALIZATION_DASHBOARD_SUMMARY.md,2025-11-09,# QA Visualization Framework - Dashboard Integration Summary,consolidate,Merge QA visualization docs into single guide + API reference.
docs/QA_VISUALIZATION_DASHBOARD_INTEGRATION.md,2025-11-09,# QA Visualization Framework - Dashboard Integration,consolidate,Merge QA visualization docs into single guide + API reference.
docs/QA_VISUALIZATION_ACCESS.md,2025-11-09,# QA Visualization Framework - Access Guide,consolidate,Merge QA visualization docs into single guide + API reference.
docs/archive/status_reports/DOCKER_CONFIG_VERIFICATION.md,2025-11-12,# Docker Configuration Verification Results,archive,Historical doc under docs/archive.
docs/archive/status_reports/DOCKER_CONFIG_UPDATE.md,2025-11-12,# Docker Configuration Update - Products Database,archive,Historical doc under docs/archive.
tests/integration/README_OPTIMIZATION.md,2025-11-11,# Integration Test Optimization Guide,keep,Code-adjacent documentation supporting module owners.
docs/archive/2025-01/ARCHIVAL_NOTE.md,2025-11-12,# Dashboard Documentation Archival Note,archive,Historical doc under docs/archive.
tests/e2e/README.md,2025-11-09,# End-to-End Testing Guide,keep,Code-adjacent documentation supporting module owners.
tests/docs/README.md,2025-11-09,# Documentation Testing,keep,Code-adjacent documentation supporting module owners.
docs/operations/deploy-systemd.md,2025-11-06,# Deploy with systemd,keep,User-facing documentation section.
docs/operations/frontend_dev_port_migration.md,untracked,# Frontend Dev Server Port Migration: 5173 → 3210,keep,User-facing documentation section.
docs/operations/frontend_dev_fix_summary.md,untracked,# Frontend Dev Server Fix Summary,keep,User-facing documentation section.
docs/operations/MISSING_PORT_SAFEGUARDS.md,untracked,# Missing Port Organization Safeguards,keep,User-facing documentation section.
docs/operations/deploy-docker.md,2025-11-06,# Deploy with Docker Compose,keep,User-facing documentation section.
docs/operations/CASA_LOG_DAEMON_PROTECTION_SUMMARY.md,2025-11-09,# CASA Log Daemon Protection Summary,keep,User-facing documentation section.
docs/operations/CASA_LOG_DAEMON_MONITORING.md,2025-11-09,# CASA Log Daemon Monitoring and Health Checks,keep,User-facing documentation section.
docs/operations/CASA_LOG_DAEMON_FIXES.md,2025-11-09,# CASA Log Daemon Fixes - November 2025,keep,User-facing documentation section.
docs/operations/automatic_duplicate_prevention.md,untracked,# Automatic and Proactive Duplicate Prevention,keep,User-facing documentation section.
docs/operations/api_server.md,2025-11-09,# API Server Configuration,keep,User-facing documentation section.
docs/operations/API_RESTART_GUIDE.md,2025-11-09,# API Restart and Troubleshooting Guide,keep,User-facing documentation section.
docs/operations/PORT_ENFORCEMENT_SUMMARY.md,untracked,# Port Organization System - Enforcement Summary,keep,User-facing documentation section.
docs/index.md,2025-11-12,# DSA-110 Continuum Imaging Pipeline,keep,User-facing documentation section.
docs/operations/pm2_daemon_explanation.md,untracked,# PM2 Daemon Explanation,keep,User-facing documentation section.
docs/IMPLEMENTATION_CHECKLIST.md,2025-11-09,# Zero-Corner-Cut Implementation Checklist,keep,Default keep until manual review.
docs/operations/vite_respawning_fix.md,untracked,# Fixing Vite Process Respawning,keep,User-facing documentation section.
docs/operations/systemd-migration.md,2025-11-06,# Systemd Service Migration Note,keep,User-facing documentation section.
docs/operations/starting_dashboard_safely.md,untracked,# Starting Dashboard Safely - Exactly One Instance,keep,User-facing documentation section.
docs/operations/service_restart_fix.md,2025-11-06,# Service Restart Fix - Process Tree Killing,keep,User-facing documentation section.
docs/operations/refant_quick_reference.md,2025-11-06,# Quick Reference: Outrigger Refant Selection,keep,User-facing documentation section.
docs/operations/README.md,2025-11-09,# Operations Documentation,keep,User-facing documentation section.
docs/operations/production_deployment_summary.md,2025-11-11,# Production Deployment Summary - DSA-110 Continuum Imaging Pipeline,keep,User-facing documentation section.
docs/operations/production_deployment_checklist.md,2025-11-11,# Production Deployment Checklist - DSA-110 Continuum Imaging Pipeline,keep,User-facing documentation section.
docs/operations/PROACTIVE_PREVENTION_SUMMARY.md,untracked,# Proactive Duplicate Prevention - Implementation Summary,keep,User-facing documentation section.
docs/operations/port_usage_unknown_ports.md,untracked,# Unknown Port Usage Analysis,keep,User-facing documentation section.
docs/operations/port_unknown_ports_resolution.md,untracked,# Unknown Ports Resolution,keep,User-facing documentation section.
docs/operations/PORT_SYSTEM_SUMMARY.md,untracked,# Port Organization System - Summary,keep,User-facing documentation section.
docs/operations/port_system_implementation_guide.md,untracked,# Port Organization System - Implementation Guide,keep,User-facing documentation section.
docs/operations/PORT_SYSTEM_ENFORCEMENT.md,untracked,# Port Organization System - Enforcement,keep,User-facing documentation section.
docs/operations/port_safeguards_analysis.md,untracked,# Port Organization System - Safeguards Analysis,keep,User-facing documentation section.
docs/operations/port_organization_recommendations.md,untracked,# Port Organization System Recommendations,keep,User-facing documentation section.
docs/operations/port_duplicate_vite_explanation.md,untracked,# Why Duplicate Vite Instances Keep Appearing,keep,User-facing documentation section.
docs/operations/port_duplicate_detection_fix.md,untracked,# Port Duplicate Detection - Fix Applied,keep,User-facing documentation section.
docs/operations/port_audit_report.md,untracked,# Port Usage and Assignment Audit Report,keep,User-facing documentation section.
docs/operations/PORT_ASSIGNMENTS_QUICK_REFERENCE.md,untracked,# Port Assignments Quick Reference,keep,User-facing documentation section.
docs/operations/port-management.md,2025-11-06,# Port Management for DSA-110 Services,keep,User-facing documentation section.
docs/operations/pm2_warning_expected.md,untracked,# PM2 Warning - Expected Behavior,keep,User-facing documentation section.
docs/operations/pm2_respawning_issue.md,untracked,# PM2 Process Respawning Issue,keep,User-facing documentation section.
docs/known-issues/image-metadata-population.md,2025-11-12,# Image Metadata Not Populated,keep,User-facing documentation section.
docs/EXTERNAL_TOOLS_EVALUATION.md,2025-11-09,# External Tools Evaluation Framework,keep,Default keep until manual review.
docs/WORKSPACE_RULES_CONFIGURATION.md,2025-11-12,# Workspace Rules Configuration,keep,Default keep until manual review.
docs/WORKSPACE_RULES_CONCISE.md,2025-11-09,# Workspace Rules: Concise Version for Always-Applied Rules,keep,Default keep until manual review.
docs/user_guide_qa_visualization.md,2025-11-10,# QA Visualization Features - User Guide,keep,Default keep until manual review.
docs/TODO.md,2025-11-09,# Development Setup TODO List,keep,Default keep until manual review.
docs/SKYVIEW_IMPLEMENTATION_PLAN.md,2025-11-06,# SkyView Implementation Plan,keep,Default keep until manual review.
archive/legacy/README.md,2025-11-12,# Legacy Code Archive,archive,Legacy material already quarantined in archive/.
docs/implementation/potential_issues_and_fixes.md,2025-11-09,# Potential Issues and Fixes for High-Priority Implementations,keep,User-facing documentation section.
